Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,ChoseMis_IT_C,ChoseMis_IT_W,ChoseCorr_IT_C,ChoseCorr_IT_W,ChoseFoil_IT_C,ChoseFoil_IT_W,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,
135,3,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.13,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,95,70,,77,50,80,100,100,83,,,,,,,,,,,,,,,,,,,,,,,70,97.5,100,100,25,80,90,100,75,90,100,100,,,,,0.5,1,1,1,0.5,0.5,1,1,0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
136,2,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.88,0.13,0.00,0.25,0.13,0.63,0.63,,,,,,,,,,,,,71,50,,56,20,,100,0,66,,,,,,,,,,,,,,,,,,,,,,,40,50,85,100,10,40,55,100,0,65,100,100,,,,,0.5,1,1,1,0.5,1,1,1,0,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
137,3,NT,NW,,,,,,,,,,,,,0.38,0.38,0.25,0.38,0.50,0.13,0.25,0.63,0.13,0.00,,,,,,,,,,,,,70,63,55,70,63,75,60,66,50,,,,,,,,,,,,,,,,,,,,,,,45,70,70,70,55,70,70,72.5,50,60,70,70,,,,,0,0.5,0.5,0.5,0,0.5,1,0,0.5,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,
138,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.50,0.13,0.38,0.38,0.25,0.38,0.00,,,,,,,,,,,,,88,100,,61,50,47,68,70,73,,,,,,,,,,,,,,,,,,,,,,,57.5,100,100,100,20,40,60,97.5,55,67.5,80,80,,,,,1,1,1,0.5,0,1,0.5,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,
201,2,T,NW,0.50,0.00,0.50,0.00,0.50,0.13,0.25,0.13,0.38,0.13,0.38,0.13,0.75,0.13,0.13,0.63,0.38,0.00,0.50,0.00,0.50,0.50,73,,13,,98,0,50,90,63,0,30,50,83,0,0,70,23,,80,,75,0.25,0.75,0.75,0.25,0.00,0.00,0,38,73,97,0,0,70,95,0,25,50,95,0,90,100,100,0,50,100,100,0,35,75,100,35,75,100,100,0.00,0.50,0.67,0.67,0,1,1,1,0.5,0.5,0.5,1,0.5,0,1,0.5,1,0.5,1,0.5,0,1,0.5,1,0.5,0.5,1,0,,,,,,,,,,
202,3,T,NW,0.63,0.00,0.25,0.13,0.75,0.00,0.25,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.63,0.25,0.13,0.75,0.13,0.13,0.00,97,,0,100,99,,16,,93,,,,100,,,100,33,100,93,26,0,0.00,0.50,1.00,0.00,0.00,0.50,30,96,100,100,75,97,100,100,0,92,100,100,16,98,100,100,100,100,100,100,33,100,100,100,13,79,100,100,0.33,1.00,1.00,0.83,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,1,0,1,1,0.5,0,1,1,1,,,,,,,,,,
203,1,T,NW,0.75,0.00,0.13,0.13,0.63,0.00,0.38,0.00,0.50,0.00,0.50,0.00,0.88,0.13,0.00,0.75,0.13,0.13,0.38,0.00,0.63,0.50,92,,90,70,74,,50,,100,,73,,87,80,,100,100,80,80,,88,0.60,0.67,0.40,0.33,0.00,0.00,58,77,90,95,65,80,100,100,65,90,100,100,45,60,70,85,65,80,100,100,90,100,100,100,70,80,90,100,0.17,0.33,1.00,1.00,1,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,1,1,0.5,1,0.5,0.5,1,1,0.5,0,0.5,0.5,,,,,,,,,,
204,2,T,NW,0.50,0.00,0.50,0.00,0.75,0.00,0.25,0.00,0.38,0.00,0.63,0.00,0.63,0.38,0.00,0.88,0.13,0.00,0.63,0.38,0.00,0.00,90,,23,,73,,45,,77,,28,,72,40,,64,50,,58,37,,0.00,0.00,0.67,0.50,0.33,0.50,15,45,68,97,5,25,55,100,5,40,80,100,35,70,70,90,30,60,65,85,40,55,70,85,25,50,60,65,0.17,0.50,0.50,1.00,0,1,0.5,1,1,0.5,1,1,0,1,0.5,1,0,0.5,1,1,0.5,1,1,1,0.5,0.5,0.5,1,,,,,,,,,,
205,3,T,NW,0.63,0.00,0.38,0.00,0.63,0.13,0.25,0.00,0.50,0.00,0.50,0.00,1.00,0.00,0.00,0.63,0.38,0.00,0.50,0.00,0.50,0.50,100,,33,,90,0,50,,100,,25,,97,,,100,67,,100,,75,0.00,1.00,1.00,0.00,0.00,0.00,8,67,100,100,0,100,100,100,25,50,100,100,0,50,100,100,88,100,100,100,63,88,100,100,50,100,100,100,0.00,0.50,1.00,0.83,1,1,1,1,0,0.5,1,1,0,0.5,0.5,1,1,1,1,1,0,0.5,1,1,0,0,1,1,,,,,,,,,,
206,1,T,NW,0.50,0.00,0.50,0.00,0.88,0.00,0.13,0.00,0.25,0.00,0.63,0.13,0.75,0.13,0.13,0.88,0.13,0.00,0.25,0.25,0.50,0.50,100,,36,,100,,90,,95,,53,90,100,60,60,100,100,,95,70,83,0.00,0.67,1.00,0.00,0.00,0.33,38,78,97,100,7,65,100,100,95,100,100,100,13,70,90,100,60,100,100,100,100,100,100,100,45,90,95,100,0.17,0.33,0.83,0.83,0,1,1,1,1,1,1,0.5,0,0.5,0,0.5,1,0,1,1,0.5,1,1,1,0,0,0.5,0.5,,,,,,,,,,
207,2,T,NW,0.50,0.13,0.38,0.00,0.75,0.00,0.13,0.13,0.75,0.00,0.25,0.00,0.75,0.13,0.13,0.75,0.25,0.00,0.88,0.13,0.00,0.00,70,0,7,,80,,0,0,70,,0,,73,20,0,69,10,,77,100,,0.00,0.00,1.00,0.50,0.00,0.50,0,28,72,100,0,10,40,100,0,40,100,100,0,35,75,100,8,20,100,100,0,18,100,100,20,100,100,100,0.00,0.67,1.00,1.00,0.5,0.5,1,1,0.5,0.5,1,1,1,0.5,1,1,1,0.5,0.5,1,0.5,0.5,1,1,0.5,1,1,1,,,,,,,,,,
208,3,T,NW,0.63,0.13,0.00,0.25,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,0.75,0.00,0.25,0.63,0.25,0.13,0.88,0.13,0.00,-0.13,62,0,,65,74,,38,,66,0,37,,73,,50,58,20,50,56,10,,0.00,0.00,0.75,1.00,0.25,0.00,8,40,75,87,5,50,80,85,15,40,75,93,5,30,70,83,30,65,85,90,11,40,55,85,8,35,75,85,0.17,0.50,0.83,0.67,0.5,0.5,1,1,0.5,0,1,1,0.5,1,1,1,1,0.5,1,0.5,0,0.5,1,1,1,0.5,1,1,,,,,,,,,,
209,1,T,NW,0.63,0.00,0.38,0.00,0.63,0.00,0.25,0.13,0.50,0.00,0.50,0.00,0.75,0.25,0.00,0.63,0.13,0.25,0.50,0.00,0.50,0.25,90,,39,,83,,73,30,96,,29,,89,87,,93,45,68,75,,70,0.50,0.50,0.50,0.50,0.00,0.00,23,62,92,99,35,62,89,99,30,73,94,100,5,53,93,98,68,87,100,100,56,68,99,100,50,70,76,93,0.17,0.17,1.00,1.00,1,0,1,1,0,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,0.5,,,,,,,,,,
211,3,T,NW,0.63,0.00,0.38,0.00,0.38,0.00,0.50,0.13,0.75,0.00,0.25,0.00,0.75,0.25,0.00,0.63,0.25,0.13,0.75,0.13,0.13,0.00,100,,63,,60,,45,100,96,,50,,92,70,,64,25,100,100,20,40,0.00,0.50,0.83,0.50,0.17,0.00,28,82,95,100,45,100,100,100,0,45,85,100,38,100,100,100,45,100,100,100,15,45,75,100,30,100,100,100,0.33,0.67,0.83,0.50,0.5,1,1,0.5,0.5,0.5,1,0.5,0,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,1,0,1,1,1,,,,,,,,,,
212,1,T,NW,0.38,0.38,0.25,0.00,0.88,0.00,0.13,0.00,0.25,0.25,0.50,0.00,0.75,0.00,0.25,0.75,0.25,0.00,0.00,0.38,0.63,0.63,100,0,35,,84,,100,,60,0,38,,95,,65,95,100,,,40,80,1.00,0.50,0.00,0.00,0.00,0.50,15,42,67,98,0,10,75,100,45,100,100,100,0,15,25,95,60,90,100,100,85,100,100,100,0,60,100,100,0.33,0.50,0.33,0.83,0.5,0.5,1,1,1,0.5,0.5,1,0,0,0,0,1,0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,,,,,,,,,,
214,3,T,NW,0.50,0.00,0.50,0.00,0.38,0.00,0.63,0.00,0.38,0.00,0.63,0.00,0.88,0.13,0.00,0.50,0.25,0.25,0.38,0.25,0.38,0.13,98,,28,,67,,14,,93,,38,,93,100,,70,35,35,100,50,77,0.00,0.60,1.00,0.00,0.00,0.40,3,32,72,100,0,55,95,100,0,0,35,100,10,40,85,100,75,100,100,100,20,40,50,100,15,100,100,100,0.00,0.17,0.50,1.00,1,1,1,0.5,0,0.5,0.5,1,0,0.5,0.5,0.5,1,0.5,1,1,0,1,0,1,0,0,0.5,1,,,,,,,,,,
215,1,T,NW,0.63,0.13,0.25,0.00,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,0.88,0.13,0.00,0.50,0.13,0.38,0.25,0.25,0.50,0.13,70,0,15,,85,,23,,74,0,3,,85,10,,73,70,30,65,40,70,0.75,0.25,0.25,0.25,0.00,0.50,0,22,68,96,0,25,65,100,0,35,85,95,0,5,55,93,35,75,93,100,10,40,75,100,10,65,80,90,0.00,0.33,0.83,1.00,0.5,1,1,1,0.5,0,0.5,1,0,0.5,0.5,0,0.5,1,1,1,0,0.5,0.5,1,0,0.5,0.5,0,,,,,,,,,,
217,3,T,NW,0.75,0.00,0.25,0.00,0.50,0.00,0.38,0.13,0.50,0.00,0.50,0.00,1.00,0.00,0.00,0.50,0.38,0.13,0.50,0.13,0.38,0.25,87,,95,,73,,55,50,90,,26,,99,,,88,60,80,95,50,72,0.50,0.25,0.50,0.50,0.00,0.25,32,61,88,99,68,88,100,100,10,60,85,98,18,35,80,100,95,100,100,100,50,65,90,100,38,85,100,100,0.50,0.17,0.67,1.00,1,1,1,1,0,0.5,0.5,1,0,0.5,0.5,1,1,1,1,1,0.5,0,0.5,1,0.5,0.5,0.5,0.5,,,,,,,,,,
218,1,T,NW,0.63,0.25,0.13,0.00,0.63,0.00,0.38,0.00,0.50,0.13,0.25,0.13,0.75,0.25,0.00,0.63,0.25,0.13,0.38,0.00,0.63,0.50,70,0,0,,96,,53,,68,0,0,100,100,25,,84,0,100,57,,88,0.50,0.75,0.50,0.25,0.00,0.00,12,30,85,100,0,0,75,100,35,90,95,100,0,0,85,100,25,100,100,100,0,60,100,100,35,70,100,100,0.00,0.50,1.00,0.83,0,1,1,1,0,1,1,0.5,0.5,0.5,0.5,0,0.5,0.5,1,1,0,0.5,1,1,0.5,0,0.5,0.5,,,,,,,,,,
219,2,T,NW,0.63,0.13,0.13,0.13,0.63,0.00,0.38,0.00,0.50,0.13,0.38,0.00,0.63,0.25,0.13,0.75,0.25,0.00,0.25,0.00,0.75,0.75,71,0,10,100,95,,58,,81,0,58,,100,63,100,79,25,,100,,92,1.00,0.50,0.00,0.50,0.00,0.00,18,55,96,100,5,28,100,100,38,88,100,100,13,50,88,100,63,100,100,100,13,50,100,100,75,100,100,100,0.00,0.83,1.00,0.50,0,1,0.5,1,0.5,0.5,1,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,0,0,,,,,,,,,,
221,1,T,NW,0.63,0.25,0.13,0.00,0.63,0.00,0.38,0.00,0.50,0.13,0.38,0.00,0.75,0.13,0.13,0.75,0.00,0.25,0.13,0.13,0.75,0.50,98,0,60,,100,,47,,86,0,50,,99,50,50,91,,70,90,0,98,0.75,0.75,0.25,0.00,0.00,0.25,8,73,99,100,0,75,100,100,25,95,100,100,0,50,98,100,50,98,100,100,50,93,100,100,45,95,100,100,0.00,0.50,0.83,1.00,0,1,1,1,0.5,0.5,1,1,0.5,0,0,0,0.5,0.5,1,1,0,1,1,1,0,0,0,0.5,,,,,,,,,,
222,2,T,NW,0.50,0.00,0.50,0.00,0.75,0.00,0.25,0.00,0.75,0.00,0.25,0.00,0.75,0.25,0.00,0.63,0.25,0.13,0.75,0.00,0.25,0.13,86,,60,,100,,60,,88,,26,,92,50,,100,75,50,83,,100,0.00,1.00,1.00,0.00,0.00,0.00,33,82,100,100,23,70,100,100,60,100,100,100,16,75,100,100,35,90,100,100,50,100,100,100,50,100,100,100,0.50,0.33,1.00,0.83,0.5,0.5,1,1,0,0.5,1,1,0.5,0.5,1,1,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1,,,,,,,,,,
224,1,T,NW,0.63,0.00,0.38,0.00,0.13,0.00,0.75,0.13,0.25,0.00,0.50,0.25,0.75,0.13,0.13,0.38,0.50,0.13,0.38,0.13,0.50,0.38,80,,0,,60,,68,70,90,,18,60,93,90,70,83,88,100,93,80,90,0.00,0.67,1.00,0.17,0.00,0.17,10,30,82,97,0,0,100,100,30,65,80,95,0,25,65,95,65,95,100,100,50,100,100,100,75,85,100,100,0.17,0.17,0.50,0.50,0.5,0.5,1,1,0.5,0,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0,0.5,0.5,,,,,,,,,,
225,2,T,NW,0.38,0.13,0.38,0.13,0.50,0.13,0.38,0.00,0.25,0.13,0.50,0.13,0.88,0.13,0.00,0.50,0.38,0.13,0.38,0.38,0.25,0.13,32,0,20,5,98,0,25,,50,0,8,50,83,100,,100,55,25,27,55,70,0.00,0.33,0.50,0.33,0.50,0.33,1,15,41,78,0,8,10,63,3,35,95,100,0,3,18,70,55,85,100,100,25,70,100,100,25,28,40,100,0.00,0.17,0.67,0.67,1,1,1,0.5,0,0,1,1,0.5,1,0,0,1,1,0.5,1,0,0,1,1,0.5,0,0,1,,,,,,,,,,
226,3,T,NW,0.38,0.25,0.38,0.00,0.50,0.38,0.13,0.00,0.63,0.13,0.25,0.00,0.75,0.25,0.00,0.88,0.00,0.13,0.63,0.00,0.38,0.25,69,0,30,,75,0,0,,59,0,0,,57,50,,44,,0,68,,30,0.20,0.67,0.80,0.33,0.00,0.00,0,5,45,99,0,15,38,96,0,0,50,100,0,0,48,100,5,35,80,100,0,0,55,100,0,38,78,100,0.17,0.33,0.50,1.00,1,0.5,0.5,1,1,0.5,1,1,0.5,0.5,0.5,1,1,0.5,0.5,1,0.5,1,1,1,0.5,0,1,1,,,,,,,,,,
227,1,T,NW,0.38,0.00,0.63,0.00,0.25,0.13,0.63,0.00,0.50,0.00,0.38,0.13,1.00,0.00,0.00,0.25,0.63,0.13,0.00,0.13,0.88,0.75,83,,20,,65,0,44,,48,,27,20,80,,,80,44,50,,20,71,1.00,0.75,0.00,0.00,0.00,0.25,8,30,47,80,10,25,45,95,0,45,55,75,15,20,40,70,65,80,85,90,35,40,60,80,40,65,75,80,0.00,0.17,0.67,0.67,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.5,0.5,0,0,0,0,,,,,,,,,,
229,3,T,NW,0.63,0.00,0.38,0.00,0.50,0.00,0.38,0.13,0.38,0.13,0.50,0.00,0.88,0.00,0.13,0.50,0.50,0.00,0.50,0.25,0.25,0.25,83,,50,,70,,33,50,88,0,37,,86,,100,78,25,,88,0,100,0.67,0.00,0.33,0.60,0.00,0.40,17,42,77,100,50,50,83,100,0,50,65,100,0,25,83,100,50,100,100,100,0,50,65,90,0,75,100,100,0.17,0.17,0.83,0.83,1,0.5,1,1,0,0.5,0.5,1,0,0.5,1,0.5,1,0.5,1,1,0.5,0,0.5,1,0,1,0.5,0.5,,,,,,,,,,
230,1,T,NW,0.75,0.00,0.25,0.00,0.75,0.13,0.00,0.13,0.50,0.13,0.13,0.25,0.75,0.25,0.00,0.63,0.25,0.13,0.13,0.00,0.88,0.75,72,,65,,67,0,,50,65,0,30,60,100,70,,86,35,80,20,,80,0.75,1.00,0.25,0.00,0.00,0.00,13,50,73,100,30,65,85,100,0,50,75,100,10,35,60,100,70,100,100,100,35,65,90,100,35,65,90,100,0.50,0.50,0.83,0.83,0,1,1,1,0,0.5,1,1,0.5,0,0,0,0.5,0.5,1,1,0.5,0.5,0.5,1,0,0.5,0,0,,,,,,,,,,
231,2,T,NW,0.50,0.00,0.50,0.00,0.88,0.00,0.13,0.00,0.63,0.13,0.25,0.00,0.88,0.00,0.13,0.75,0.25,0.00,0.57,0.29,0.14,0.14,80,,43,,100,,40,,96,0,40,,73,,30,100,100,,90,30,100,0.00,0.33,1.00,0.00,0.00,0.67,23,77,98,100,0,45,100,100,70,100,100,100,0,85,95,100,5,65,100,100,100,100,100,100,30,80,100,100,0.17,0.67,0.83,1.00,1,0.5,1,1,1,0.5,1,0.5,0,0.5,1,1,1,0.5,1,1,0.5,0.5,1,1,0,0.5,1,1,,,,,,,,,,
232,3,T,NW,0.50,0.13,0.38,0.00,0.25,0.25,0.25,0.25,0.50,0.00,0.50,0.00,0.75,0.13,0.13,0.38,0.25,0.38,0.75,0.25,0.00,-0.38,100,100,43,,100,0,35,0,90,,40,,77,60,50,93,0,33,92,45,,0.00,0.00,1.00,0.50,0.00,0.50,7,52,78,100,15,100,100,100,0,0,35,100,5,55,100,100,35,55,95,100,0,0,90,100,45,80,95,100,0.00,0.17,0.67,0.83,0.5,0.5,1,1,0,0,1,0.5,0,1,1,1,0.5,0.5,1,1,0,0,0.5,1,0.5,0.5,1,1,,,,,,,,,,
233,2,T,NW,0.50,0.38,0.00,0.13,0.75,0.13,0.13,0.00,0.88,0.00,0.13,0.00,0.63,0.38,0.00,0.75,0.25,0.00,0.38,0.00,0.63,0.63,80,0,,0,89,0,80,,71,,0,,96,33,,88,35,,83,,92,0.57,1.00,0.43,0.00,0.00,0.00,15,44,80,100,0,0,60,100,35,78,95,100,10,55,85,100,0,90,100,100,15,85,100,100,55,100,100,100,0.33,0.50,1.00,1.00,0,1,0.5,1,0.5,0.5,1,1,0.5,0,1,0,0.5,0,1,1,0,1,1,1,0.5,0,0.5,0.5,,,,,,,,,,
234,2,T,NW,0.50,0.50,0.00,0.00,0.50,0.25,0.25,0.00,0.13,0.38,0.38,0.13,0.63,0.13,0.25,0.75,0.25,0.00,0.13,0.25,0.63,0.63,85,0,,,75,0,8,,100,0,17,80,92,50,25,78,10,,70,60,94,1.00,0.57,0.00,0.14,0.00,0.29,0,3,48,97,0,0,70,100,0,3,55,100,0,5,20,90,25,55,100,100,10,35,100,100,55,80,95,100,0.00,0.17,0.50,0.83,0,0.5,1,1,0,1,1,1,0.5,0,0,0,0.5,0,1,1,0.5,0.5,1,1,0,0.5,0,0,,,,,,,,,,
236,1,T,NW,0.38,0.00,0.63,0.00,0.38,0.00,0.63,0.00,0.25,0.00,0.75,0.00,1.00,0.00,0.00,0.50,0.38,0.13,0.25,0.38,0.38,0.25,23,,18,,93,,52,,35,,18,,86,,,75,43,90,50,33,37,0.50,0.33,0.50,0.17,0.00,0.50,7,22,43,75,0,5,25,50,20,60,90,100,0,0,15,75,45,99,100,100,10,65,90,95,5,10,45,95,0.17,0.17,0.50,0.50,1,1,1,1,0.5,0,1,0.5,0,0.5,0,0.5,1,1,1,1,0,0,1,1,0,0.5,0,0.5,,,,,,,,,,
237,2,T,NW,0.25,0.00,0.75,0.00,0.63,0.00,0.25,0.13,0.25,0.00,0.75,0.00,0.63,0.38,0.00,0.63,0.13,0.25,0.38,0.25,0.38,0.13,100,,35,,84,,35,30,100,,49,,90,70,,82,90,80,77,80,83,0.50,0.33,0.50,0.33,0.00,0.33,9,43,85,100,6,40,60,100,15,45,100,100,7,45,95,100,30,100,100,100,45,85,100,100,55,65,100,100,0.17,0.00,0.50,0.83,0.5,0.5,0.5,1,0.5,0,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0,1,1,0.5,0.5,0,0.5,,,,,,,,,,
238,3,T,NW,0.75,0.00,0.25,0.00,0.38,0.00,0.63,0.00,0.63,0.00,0.38,0.00,1.00,0.00,0.00,0.63,0.38,0.00,0.50,0.25,0.25,0.25,100,,45,,97,,36,,80,,43,,90,,,80,73,,100,60,90,0.20,0.33,0.80,0.00,0.00,0.67,18,68,95,100,45,100,100,100,0,50,85,100,10,55,100,100,60,100,100,100,50,70,90,100,60,90,100,100,0.17,0.33,0.83,1.00,1,1,1,1,1,0,0.5,1,0,0.5,0.5,1,1,1,1,1,0.5,0.5,0.5,1,0,0,1,1,,,,,,,,,,
239,2,T,NW,0.38,0.00,0.63,0.00,0.50,0.00,0.50,0.00,0.63,0.13,0.13,0.13,0.50,0.25,0.25,0.63,0.38,0.00,0.50,0.00,0.50,0.50,100,,40,,70,,55,,96,0,50,60,100,75,25,85,33,,88,,88,0.20,1.00,0.80,0.00,0.00,0.00,17,63,88,97,15,65,80,90,10,55,85,100,25,70,100,100,25,75,100,100,0,63,100,100,50,100,100,100,0.17,0.33,0.67,0.67,0,0,1,1,0,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,1,1,,,,,,,,,,
240,3,T,NW,0.38,0.00,0.50,0.13,0.13,0.00,0.75,0.13,0.38,0.00,0.63,0.00,1.00,0.00,0.00,0.38,0.38,0.25,0.25,0.13,0.63,0.38,75,,33,70,90,,26,30,47,,22,,78,,,63,40,50,45,30,81,1.00,0.40,0.00,0.40,0.00,0.20,11,25,44,78,10,35,68,100,13,25,35,65,10,15,30,70,45,75,90,100,25,40,60,80,35,45,83,100,0.00,0.33,0.33,0.50,1,1,1,1,0.5,0,0,1,0.5,0.5,0,0,1,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,
300,1,NT,W,,,,,,,,,,,,,0.88,0.13,0.00,0.63,0.25,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,73,80,,83,25,75,54,15,62,,,,,,,,,,,,,,,,,,,,,,,30,70,95,100,25,67.5,77.5,100,20,40,65,83,,,,,1,0.5,1,1,0,0.5,1,1,0,1,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
301,2,NT,W,,,,,,,,,,,,,0.50,0.13,0.38,0.25,0.38,0.38,0.63,0.13,0.25,-0.13,,,,,,,,,,,,,60,90,47,100,57,20,76,80,85,,,,,,,,,,,,,,,,,,,,,,,15,45,80,95,10,25,80,100,70,75,80,90,,,,,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
302,3,NT,W,,,,,,,,,,,,,0.50,0.38,0.13,0.38,0.63,0.00,0.38,0.25,0.38,0.38,,,,,,,,,,,,,94,47,30,27,29,,96,50,42,,,,,,,,,,,,,,,,,,,,,,,30,55,87.5,100,1.5,25,35,52.5,25,55,78,100,,,,,0,0,1,1,0.5,0.5,0,0.5,0,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
304,2,NT,W,,,,,,,,,,,,,0.63,0.25,0.13,0.38,0.50,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,62,55,70,63,23,20,58,30,63,,,,,,,,,,,,,,,,,,,,,,,35,55,70,85,15,20,45,70,20,35,80,90,,,,,0.5,1,0,1,0,0,0.5,1,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
305,3,NT,W,,,,,,,,,,,,,0.75,0.13,0.13,0.25,0.63,0.13,0.50,0.38,0.13,0.00,,,,,,,,,,,,,83,0,50,75,25,50,75,83,20,,,,,,,,,,,,,,,,,,,,,,,0,75,100,100,0,25,50,87.5,10,75,100,100,,,,,0.5,0.5,1,1,0,0.5,0,0.5,0.5,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,
306,1,NT,W,,,,,,,,,,,,,0.63,0.38,0.00,0.50,0.13,0.38,0.50,0.25,0.25,-0.13,,,,,,,,,,,,,94,47,,100,59,83,68,35,50,,,,,,,,,,,,,,,,,,,,,,,20,85,100,100,54.5,100,100,100,20,50,50,100,,,,,0,1,0.5,1,0,0.5,1,0.5,0.5,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,
307,2,NT,W,,,,,,,,,,,,,0.38,0.25,0.38,0.75,0.25,0.00,0.50,0.38,0.13,0.13,,,,,,,,,,,,,73,45,52,72,0,,74,17,25,,,,,,,,,,,,,,,,,,,,,,,0,60,82.5,90,0,37.5,77.5,100,0,13,73,100,,,,,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,
308,3,NT,W,,,,,,,,,,,,,0.63,0.13,0.25,0.50,0.25,0.25,0.50,0.25,0.25,0.00,,,,,,,,,,,,,64,0,0,69,13,40,54,25,50,,,,,,,,,,,,,,,,,,,,,,,0,2.5,62.5,95,2.5,12.5,80,95,10,30,58,85,,,,,0,0.5,1,1,0,0.5,0.5,1,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
