Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,ChoseMis_IT_C,ChoseMis_IT_W,ChoseCorr_IT_C,ChoseCorr_IT_W,ChoseFoil_IT_C,ChoseFoil_IT_W,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,
111,3,NT,NW,,,,,,,,,,,,,0.63,0.00,0.38,0.25,0.63,0.13,0.75,0.25,0.00,-0.13,,,,,,,,,,,,,60,,50,75,22,80,78,20,,,,,,,,,,,,,,,,,,,,,,,,15,35,75,100,10,20,50,90,20,55,80,100,,,,,0.5,0.5,1,0.5,0,0,0.5,0.5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
112,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,1.00,0.00,0.00,0.00,0.38,0.63,0.63,,,,,,,,,,,,,86,20,,83,,,,43,73,,,,,,,,,,,,,,,,,,,,,,,40,82.5,92.5,97.5,70,80,87.5,92.5,40,50,72.5,85,,,,,0.5,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
115,1,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.50,0.38,0.13,0.38,0.50,0.13,0.00,,,,,,,,,,,,,83,48,,76,48,85,87,48,100,,,,,,,,,,,,,,,,,,,,,,,22.5,80,92.5,100,30,67.5,80,90,30,65,82.5,97.5,,,,,0.5,0.5,1,1,0,1,0.5,0.5,0,0,1,0.5,,,,,,,,,,,,,,,,,,,,,,
116,2,NT,NW,,,,,,,,,,,,,0.63,0.25,0.13,0.75,0.25,0.00,0.50,0.13,0.38,0.38,,,,,,,,,,,,,98,75,50,100,65,,73,50,83,,,,,,,,,,,,,,,,,,,,,,,50,95,100,100,65,100,100,100,30,65,100,100,,,,,0,1,1,0.5,0,1,1,1,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
117,3,NT,NW,,,,,,,,,,,,,0.88,0.00,0.13,0.50,0.25,0.25,0.63,0.13,0.25,0.00,,,,,,,,,,,,,94,,100,100,55,50,98,50,90,,,,,,,,,,,,,,,,,,,,,,,80,100,100,100,25,80,100,100,65,95,100,100,,,,,1,0.5,1,1,0,0,1,1,0,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,
118,1,NT,NW,,,,,,,,,,,,,0.38,0.50,0.13,0.50,0.38,0.13,0.38,0.50,0.13,0.00,,,,,,,,,,,,,73,0,50,33,23,20,65,20,0,,,,,,,,,,,,,,,,,,,,,,,0,0,35,100,10,15,35,50,0,0,40,97.5,,,,,0,0,0.5,1,0,1,0.5,0.5,0.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,
119,2,NT,NW,,,,,,,,,,,,,0.25,0.63,0.13,0.50,0.38,0.13,0.13,0.38,0.50,0.38,,,,,,,,,,,,,95,36,20,88,23,20,100,33,40,,,,,,,,,,,,,,,,,,,,,,,15,35,50,95,20,25,75,100,0,5,75,100,,,,,0,0,0,1,0,0,1,1,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,
120,3,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.63,0.13,0.25,0.63,0.13,0.25,0.00,,,,,,,,,,,,,77,35,,62,15,20,88,15,60,,,,,,,,,,,,,,,,,,,,,,,30,55,80,100,12.5,30,65,75,27.5,60,100,100,,,,,0.5,0.5,1,1,0,0.5,1,1,0,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,
121,1,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.50,0.13,0.38,0.38,0.38,0.25,-0.13,,,,,,,,,,,,,74,,,41,35,43,58,33,83,,,,,,,,,,,,,,,,,,,,,,,50,72.5,82.5,90,25,40,50,50,27.5,47.5,62.5,82.5,,,,,1,1,1,1,0.5,0.5,1,0,0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
122,2,NT,NW,,,,,,,,,,,,,0.50,0.25,0.25,0.50,0.38,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,60,48,50,80,30,50,90,25,70,,,,,,,,,,,,,,,,,,,,,,,25,35,63,95,29.5,40,65,95,27.5,75,95,100,,,,,0.5,0.5,0,1,0,0,1,1,0,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,
