Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.88,0.13,0.00,0.63,0.25,0.13,0.13,,,,,,,,,,,,,91,92,,93,60,,96,78,100,,,,,,,,,,,,,,,,,75,90,100,100,55,100,100,100,75,92.5,100,100,,,,,0.5,1,1,0,0.5,1,1,1,0.5,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,3,NT,NW,,,,,,,,,,,,,1.00,0.00,0.00,0.63,0.25,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,69,,,32,1,80,70,20,53,,,,,,,,,,,,,,,,,55,65,75,80,0,1,40,80,35,55,60,80,,,,,1,1,1,1,0.5,0.5,1,0.5,0,0.5,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,1,NT,NW,,,,,,,,,,,,,0.88,0.13,0.00,0.88,0.13,0.00,0.25,0.38,0.38,0.38,,,,,,,,,,,,,87,75,,81,75,,95,62,82,,,,,,,,,,,,,,,,,55,87.5,100,100,60,75,85,100,50,77.5,87.5,95,,,,,1,0.5,1,1,1,1,0.5,1,0,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,3,NT,NW,,,,,,,,,,,,,0.63,0.13,0.25,0.63,0.13,0.25,0.50,0.50,0.00,-0.25,,,,,,,,,,,,,90,3,65,73,90,65,100,61,,,,,,,,,,,,,,,,,,26.5,65,100,100,45,65,87.5,95,45,77.5,100,100,,,,,0.5,0,1,1,1,0,1,0.5,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1,T,NW,0.50,0.13,0.38,0.00,0.50,0.00,0.25,0.25,0.25,0.00,0.63,0.13,1.00,0.00,0.00,0.75,0.25,0.00,0.13,0.13,0.75,0.75,78,0,12,,54,,10,10,30,,30,0,91,,,78,68,,50,10,83,1,15,40,79,0,18,55,100,0,12,35,80,2,15,30,58,68,95,100,100,50,70,83,98,20,63,96,100,0.00,0.33,0.50,0.83,1,1,1,1,0.5,1,0.5,1,0,0.5,0,0,1,1,1,1,0.5,1,0.5,1,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,T,NW,0.63,0.00,0.38,0.00,0.38,0.00,0.63,0.00,0.63,0.00,0.25,0.13,0.88,0.00,0.13,0.63,0.38,0.00,0.25,0.13,0.63,0.63,56,,17,,67,,21,,100,,26,100,86,,100,100,50,,100,100,100,9,39,67,100,0,15,50,100,0,3,50,100,26,100,100,100,50,100,100,100,50,100,100,100,100,100,100,100,0.17,0.67,0.50,0.83,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0,0,0.5,0.5,1,1,1,0,0.5,1,1,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,3,T,NW,0.63,0.00,0.38,0.00,0.38,0.00,0.50,0.13,0.63,0.13,0.25,0.00,1.00,0.00,0.00,0.63,0.38,0.00,0.00,0.00,1.00,1.00,63,,27,,100,,13,5,74,N/A,38,,100,,,84,17,,,,100,8,27,80,100,0,20,78,100,0,3,75,100,25,60,88,100,100,100,100,100,0,50,85,100,100,100,100,,0.33,0.50,0.50,0.83,1,1,1,1,0,0.5,1,1,0,0,0,0,1,1,1,1,1,0,0.5,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,T,NW,0.25,0.13,0.50,0.13,0.25,0.00,0.75,0.00,0.63,0.00,0.38,0.00,0.50,0.13,0.38,0.88,0.13,0.00,0.38,0.38,0.25,0.25,90,0,22,10,95,,42,,56,,47,,85,30,53,86,40,,93,53,85,0,26,70,93,1,8,40,90,0,45,80,95,0,25,90,95,40,50,75,100,40,90,90,100,50,70,90,95,0.17,0.17,0.33,0.83,0,0.5,0.5,1,0.5,1,1,1,0,0,1,0.5,0.5,0,0.5,1,0.5,1,1,1,0.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2,T,NW,0.25,0.00,0.63,0.13,0.75,0.00,0.25,0.00,0.75,0.00,0.25,0.00,0.63,0.13,0.25,0.75,0.25,0.00,0.50,0.13,0.38,0.38,100,,53,0,95,,25,,85,,83,,80,85,50,83,25,,100,100,100,23,71,99,100,0,35,98,100,25,85,100,100,45,93,100,100,0,93,100,100,0,75,100,100,100,100,100,100,0.17,0.67,0.83,0.67,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0,1,1,0.5,1,1,0.5,0.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,3,T,NW,0.63,0.13,0.25,0.00,0.38,0.13,0.50,0.00,0.38,0.25,0.38,0.00,1.00,0.00,0.00,0.88,0.13,0.00,0.00,0.13,0.88,0.88,77,0,43,,83,0,44,,73,0,3,,90,,,47,0,,,0,92,1,31,59,100,4,43,100,100,0,50,63,100,0,0,15,100,65,95,100,100,0,10,63,93,25,98,100,100,0.17,0.00,0.67,1.00,1,1,1,1,1,0.5,1,1,0,0,0,0,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,1,T,NW,0.38,0.13,0.50,0.00,0.63,0.13,0.25,0.00,0.25,0.13,0.50,0.13,0.75,0.25,0.00,0.50,0.25,0.25,0.13,0.38,0.50,0.25,100,0,50,,60,0,60,,100,0,38,100,100,70,,100,100,35,100,40,88,10,35,90,100,5,45,100,100,10,30,90,100,15,30,80,100,70,100,100,100,35,100,100,100,10,75,100,100,0.17,0.17,0.83,0.50,0.5,1,0.5,1,0,0.5,0.5,1,0,0,0,0.5,1,0.5,1,0.5,0,0.5,1,0.5,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,T,NW,0.63,0.00,0.25,0.13,0.63,0.13,0.25,0.00,0.63,0.00,0.38,0.00,1.00,0.00,0.00,0.75,0.13,0.13,0.63,0.13,0.25,0.13,80,,0,100,90,0,50,,100,,75,,88,,,83,100,0,100,100,50,25,75,100,100,0,50,100,100,0,75,100,100,75,100,100,100,50,100,100,100,0,100,100,100,50,100,100,100,0.33,0.83,0.67,0.67,1,1,1,1,0.5,1,1,0.5,0.5,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1.0,0.5,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,3,T,NW,0.25,0.00,0.63,0.13,0.13,0.63,0.25,0.00,0.25,0.38,0.25,0.13,0.50,0.25,0.25,0.63,0.25,0.13,0.63,0.13,0.25,0.13,50,,48,0,0,0,0,,100,0,10,0,30,30,25,38,15,100,80,100,60,0,7,20,80,0,20,50,100,0,0,0,0,0,0,10,100,0,10,30,75,0,20,40,100,10,100,100,100,0.33,0.00,0.00,0.50,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,1,0.5,1.0,0.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1,T,NW,0.50,0.00,0.50,0.00,0.38,0.13,0.50,0.00,0.50,0.00,0.38,0.13,1.00,0.00,0.00,0.38,0.50,0.13,0.25,0.13,0.63,0.50,61,,65,,100,0,42,,83,,33,100,91,,,100,50,0,100,25,86,17,51,83,100,23,50,80,100,2,43,90,100,25,60,80,100,65,100,100,100,0,50,100,100,38,90,100,100,0.33,0.17,0.50,0.83,1,1,1,1,0,0,1,0.5,0,0,0,1,1,1,1,1,0,0,0.5,1,0.0,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2,T,NW,0.75,0.00,0.25,0.00,0.75,0.00,0.25,0.00,0.75,0.00,0.13,0.13,1.00,0.00,0.00,0.75,0.25,0.00,0.63,0.13,0.25,0.25,96,,30,,97,,75,,88,,75,100,91,,,100,43,,100,100,80,48,96,100,100,30,88,100,100,65,100,100,100,50,100,100,100,63,100,100,100,43,100,100,100,80,100,100,100,0.33,0.83,1.00,0.83,1,1,1,1,0,1,1,1,0.5,0.5,1,0.5,1,1,1,1,0,1,1,1,0.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,3,T,NW,0.75,0.00,0.25,0.00,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,0.88,0.13,0.00,0.75,0.25,0.00,0.63,0.25,0.13,0.13,50,,30,,83,,23,,76,100,30,,81,100,,66,38,,85,48,10,7,38,75,95,6,35,50,88,10,35,75,100,5,43,100,100,35,100,100,100,8,50,78,100,15,63,88,100,0.33,0.33,0.67,1.00,1,0.5,1,1,0.5,0.5,1,1,0,0.5,1,1,1,0.5,1,1,0.5,1,0.5,1,0.5,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1,T,NW,0.38,0.00,0.63,0.00,0.25,0.13,0.63,0.00,0.50,0.13,0.38,0.00,0.63,0.13,0.25,0.38,0.38,0.25,0.25,0.13,0.63,0.38,50,,20,,100,0,40,,63,0,27,,75,0,0,50,50,0,0,0,60,0,3,82,100,0,0,90,,0,0,100,100,0,10,55,100,0,0,100,100,0,0,100,,0,0,50,100,0.17,0.17,0.50,0.67,0.5,0,1,1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,0.5,1,0.0,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2,T,NW,0.50,0.13,0.38,0.00,0.50,0.25,0.25,0.00,0.63,0.00,0.38,0.00,0.75,0.13,0.13,0.63,0.38,0.00,0.38,0.00,0.63,0.63,40,0,0,,90,0,0,,77,,16,,69,50,40,84,47,,80,,98,2,14,51,93,0,0,0,80,0,0,80,100,5,43,73,98,8,45,98,100,30,50,100,100,73,95,98,100,0.17,0.33,0.67,1.00,1,0,1,1,0.5,0,1,1,0.5,0.5,0.5,0,1,1,0,1,0.5,0,1,1,0.5,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,3,T,NW,0.75,0.00,0.25,0.00,0.38,0.00,0.50,0.13,0.63,0.00,0.38,0.00,1.00,0.00,0.00,0.50,0.38,0.13,0.50,0.13,0.38,0.25,93,,100,,37,,38,0,70,,33,,96,,,77,53,70,100,100,83,27,52,75,92,80,100,100,100,0,5,50,75,0,50,75,100,85,100,100,100,45,65,70,100,80,95,100,100,0.33,0.83,0.33,0.83,1,1,1,1,0,1,0,1,0,0.5,0.5,1,1,1,1,1,0.5,1,0,0.5,0.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1,T,NW,0.63,0.00,0.38,0.00,0.63,0.00,0.38,0.00,0.50,0.00,0.38,0.13,1.00,0.00,0.00,0.50,0.38,0.13,0.25,0.00,0.75,0.63,86,,15,,72,,27,,70,,27,100,91,,,95,75,30,65,,85,16,37,77,100,13,30,95,100,15,45,60,100,20,35,75,100,75,90,100,100,40,90,100,100,55,75,90,100,0.00,0.67,0.83,0.83,1,1,1,1,0,0.5,1,0.5,0.5,0.5,0,0,1,1,1,1,0,0.5,0.5,1,0.0,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2,T,NW,0.38,0.13,0.50,0.00,0.25,0.00,0.75,0.00,0.88,0.00,0.13,0.00,0.75,0.25,0.00,0.38,0.38,0.25,0.50,0.00,0.50,0.25,100,0,75,,100,,52,,89,,100,,92,100,,83,83,88,88,,100,33,88,100,100,25,100,100,,15,65,100,100,60,100,100,100,75,100,100,100,50,88,100,100,75,100,100,100,0.33,0.50,0.83,0.33,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0,0.5,1,1,0.5,0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,3,T,NW,0.50,0.13,0.25,0.13,0.50,0.13,0.38,0.00,0.50,0.00,0.50,0.00,0.88,0.00,0.13,0.50,0.38,0.13,0.50,0.25,0.25,0.13,76,0,63,50,99,0,48,,91,,48,,94,,100,100,33,0,66,90,80,15,64,86,98,21,50,75,93,13,60,98,100,10,83,85,100,80,98,100,100,0,50,100,100,43,78,83,100,0.17,0.17,0.67,1.00,1,0.5,1,1,0,0,1,1,1,0.5,0,0.5,1,0.5,1,1,0,0,1,1,0.5,0.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1,T,NW,0.88,0.00,0.13,0.00,0.63,0.00,0.38,0.00,0.63,0.00,0.25,0.13,1.00,0.00,0.00,0.63,0.38,0.00,0.13,0.25,0.63,0.63,93,,0,,100,,67,,80,,0,70,100,,,100,67,,100,50,90,25,78,100,100,25,100,100,100,50,100,100,100,0,35,100,100,100,100,100,100,50,100,100,100,50,75,100,100,0.33,0.67,1.00,0.83,1,1,1,1,0,1,1,0.5,0,0,0,0.5,1,1,1,1,0.5,0.5,1,0.5,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,3,T,NW,0.38,0.25,0.38,0.00,0.38,0.13,0.50,0.00,0.25,0.13,0.50,0.13,0.75,0.13,0.13,0.50,0.38,0.13,0.38,0.38,0.25,0.13,88,0,58,,75,0,38,,95,0,30,50,85,50,50,74,30,60,68,40,80,3,42,62,89,0,50,80,90,10,40,55,83,0,35,50,95,50,78,85,93,20,50,65,88,35,50,75,83,0.00,0.00,0.33,1.00,0,1,1,1,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,1,1,0,0.5,0.5,1,0.0,0.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1,T,NW,0.75,0.00,0.25,0.00,0.75,0.00,0.13,0.13,0.50,0.13,0.25,0.13,0.63,0.25,0.13,0.88,0.00,0.13,0.50,0.13,0.38,0.25,80,,40,,83,,90,70,86,0,73,90,95,30,50,89,,90,93,50,73,46,71,87,97,40,55,85,100,65,80,90,95,33,77,85,95,25,68,100,100,68,90,100,100,50,80,90,100,0.17,1.00,0.67,0.83,0,0.5,1,1,1,0.5,1,1,0,0.5,0.5,1,0,0.5,1,1,0.5,1,1,1,0.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2,T,NW,0.63,0.00,0.38,0.00,0.63,0.00,0.38,0.00,0.75,0.00,0.25,0.00,0.75,0.25,0.00,0.75,0.25,0.00,0.38,0.00,0.63,0.63,96,,40,,90,,43,,90,,90,,98,80,,100,80,,100,,96,38,82,97,100,15,85,100,100,30,70,90,100,70,90,100,100,75,100,100,100,80,100,100,100,90,100,100,100,0.17,0.50,1.00,1.00,0.5,1,0.5,1,0,1,1,1,0.5,0.5,0,0.5,0,1,1,1,1,0,1,1,0.0,0.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,3,T,NW,0.25,0.00,0.75,0.00,0.25,0.00,0.75,0.00,0.38,0.00,0.63,0.00,0.88,0.13,0.00,0.25,0.38,0.38,0.25,0.13,0.63,0.25,33,,44,,63,,38,,42,,17,,91,50,,75,38,17,50,50,87,4,25,42,78,0,33,50,83,13,25,50,90,0,18,25,63,50,93,100,100,0,13,50,95,50,50,93,100,0.00,0.50,0.33,0.33,0.5,1,1,1,0,0,0.5,0.5,0.5,0.5,0,0,1,1,1,0.5,0,0.5,0,0.5,0.0,0.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1,T,NW,0.50,0.00,0.50,0.00,0.50,0.00,0.38,0.13,0.38,0.13,0.50,0.00,0.75,0.25,0.00,0.50,0.50,0.00,0.50,0.00,0.50,0.50,74,,44,,80,,33,80,58,0,23,,85,85,,90,68,,78,,90,21,37,64,84,38,50,63,85,25,60,80,85,0,0,50,83,65,90,90,95,50,85,90,90,65,90,90,90,0.00,0.33,0.83,0.67,0.5,1,0.5,1,0,0.5,0.5,1,1,0.5,0,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,T,NW,0.50,0.00,0.25,0.25,0.88,0.00,0.13,0.00,0.50,0.00,0.50,0.00,0.88,0.00,0.13,0.88,0.13,0.00,0.38,0.25,0.38,0.38,90,,0,60,96,,30,,95,,38,,90,,100,100,100,,93,65,97,17,77,92,100,0,55,85,100,50,100,100,100,0,75,90,100,65,100,100,100,100,100,100,100,65,85,100,100,0.17,0.50,0.83,1.00,1,1,0.5,1,0.5,1,1,1,0,0.5,0,1,1,1,0.5,1,0.5,1,1,1,1.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,3,T,NW,0.13,0.13,0.50,0.25,0.38,0.13,0.50,0.00,0.25,0.38,0.38,0.00,0.13,0.38,0.50,0.25,0.50,0.25,0.38,0.50,0.13,-0.13,30,0,47,50,73,0,32,,10,0,23,,0,53,57,90,48,33,53,40,0,0,17,38,71,0,25,45,90,0,27,59,88,0,0,10,35,0,40,64,90,14,39,65,100,0,15,45,100,0.00,0.33,0.50,0.17,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0.0,1.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,T,NW,0.63,0.00,0.38,0.00,0.75,0.00,0.25,0.00,0.50,0.00,0.38,0.13,1.00,0.00,0.00,0.50,0.25,0.25,0.13,0.13,0.75,0.50,89,,30,,85,,40,,69,,60,90,95,,,90,83,65,90,70,96,31,63,86,98,25,55,88,100,40,70,85,100,28,65,85,95,90,90,100,100,65,75,90,98,75,93,99,100,0.33,0.50,0.83,0.83,1,1,1,1,0,0.5,0.5,1,0,0.5,0,0,1,1,1,1,0,0.5,1,0.5,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2,T,NW,0.25,0.13,0.50,0.13,0.38,0.13,0.50,0.00,0.88,0.13,0.00,0.00,0.75,0.00,0.25,0.50,0.50,0.00,0.25,0.00,0.75,0.75,100,0,75,0,100,0,56,,100,0,,,94,,70,100,45,,88,,73,17,71,100,100,0,50,100,100,0,63,100,100,50,100,100,100,65,88,100,100,20,70,100,100,58,75,75,100,0.17,0.33,0.83,0.67,0.5,0.5,1,1,0,0.5,0.5,1,0,0,0.5,0.5,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,3,T,NW,0.50,0.13,0.25,0.13,0.25,0.25,0.50,0.00,0.63,0.00,0.38,0.00,0.88,0.00,0.13,0.63,0.25,0.13,0.75,0.25,0.00,-0.13,94,0,60,100,95,0,68,,84,,92,,72,,70,70,38,25,88,55,,28,68,95,100,25,73,100,100,0,45,85,100,60,88,100,100,28,60,100,100,25,50,50,100,38,80,100,100,0.33,0.33,0.83,0.33,1,0.5,1,1,0,1,0.5,1,0.5,0.5,1,1,1,1,1,0.5,0,0.5,1,1,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
