Subject,Session,COND,WARN,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1,NT,NW,,,,,,,,,,,,,0.13,0.75,0.13,0.25,0.63,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,,45,30,80,40,50,40,9,59,,,,,,,,,,,,,,,,,19.5,45,80,,30,45,50,80,19.5,42.5,47.5,72.5,,,,,0,0,0,0.5,0,0,0,1,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2,NT,NW,,,,,,,,,,,,,0.50,0.13,0.38,0.50,0.25,0.25,0.63,0.00,0.38,0.13,,,,,,,,,,,,,95,100,83,88,25,25,71,,100,,,,,,,,,,,,,,,,,65,100,100,100,0,50,75,100,37.5,90,100,100,,,,,0.5,0,0.5,1,0,0.5,0.5,1,1,1,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1,NT,NW,,,,,,,,,,,,,0.63,0.25,0.13,0.63,0.25,0.13,0.50,0.50,0.00,-0.13,,,,,,,,,,,,,100,25,20,59,23,10,66,64,,,,,,,,,,,,,,,,,,17.5,67.5,100,100,10,17.5,47,100,15,45,100,100,,,,,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2,NT,NW,,,,,,,,,,,,,0.75,0.13,0.13,0.88,0.00,0.13,0.38,0.00,0.63,0.50,,,,,,,,,,,,,54,2,40,76,,50,70,,90,,,,,,,,,,,,,,,,,6,20,57.5,100,25,65,100,100,30,100,100,100,,,,,0.5,1,0.5,1,1,0.5,1,1,0.5,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,3,NT,NW,,,,,,,,,,,,,0.63,0.38,0.00,0.50,0.38,0.13,0.75,0.13,0.13,0.00,,,,,,,,,,,,,85,17,,75,25,25,92,75,100,,,,,,,,,,,,,,,,,12.5,25,100,100,12.5,25,62.5,100,75,87.5,100,100,,,,,0,0.5,1,1,0.5,0,0.5,1,0.5,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,1,NT,NW,,,,,,,,,,,,,0.75,0.25,0.00,0.38,0.63,0.00,0.63,0.25,0.13,0.13,,,,,,,,,,,,,82,35,,53,50,,58,20,100,,,,,,,,,,,,,,,,,25,65,90,100,20,25,65,95,0,40,75,100,,,,,0.5,0.5,1,1,0,0.5,1,0,0.5,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2,NT,NW,,,,,,,,,,,,,0.50,0.38,0.13,0.63,0.38,0.00,0.13,0.25,0.63,0.63,,,,,,,,,,,,,71,37,50,95,15,,100,25,75,,,,,,,,,,,,,,,,,10,50,62.5,100,10,50,100,100,12.5,50,100,100,,,,,0.5,0,0.5,1,0,0.5,1,1,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,3,NT,NW,,,,,,,,,,,,,0.88,0.00,0.13,0.75,0.13,0.13,0.88,0.13,0.00,-0.13,,,11.04536102,,,,,,,,,,100,,10,68,0,50,93,100,,,,,,,,,,,,,,,,,,55,100,100,100,0,30,100,100,75,100,100,100,,,,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1,NT,NW,,,,,,,,,,,,,0.75,0.00,0.25,0.75,0.13,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,71,,50,45,90,10,48,50,67,,,,,,,,,,,,,,,,,25,50,87.5,100,0,30,60,95,10,40,70,100,,,,,0.5,0.5,1,1,1,0.5,1,0.5,1,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2,NT,NW,,,,,,,,,,,,,0.38,0.25,0.38,0.38,0.50,0.13,0.25,0.50,0.25,0.13,,,,,,,,,,,,,37,30,25,32,24,60,30,30,33,,,,,,,,,,,,,,,,,15,17.5,42.5,47.5,15,17.5,37.5,55,25,27.5,30,40,,,,,0,0.5,0,1,0,0.5,1,0,0,0.5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
