Subject,Session,COND,Warn,IT_CONG_C,IT_CONG_D,IT_CONG_I,IT_CONG_M,IT_NEU_C,IT_NEU_D,IT_NEU_I,IT_NEU_M,IT_MI_C,IT_MI_D,IT_MI_I,IT_MI_M,CONG_C,CONG_I,CONG_M,NEU_C,NEU_I,NEU_M,MI_C,MI_I,MI_M,Misinfo_Effect,IT_CONG_C_Conf,IT_CONG_D_Conf,IT_CONG_I_Conf,IT_CONG_M_Conf,IT_NEU_C_Conf,IT_NEU_D_Conf,IT_NEU_I_Conf,IT_NEU_M_Conf,IT_MI_C_Conf,IT_MI_D_Conf,IT_MI_I_Conf,IT_MI_M_Conf,FT_CONG_C_Conf,FT_CONG_I_Conf,FT_CONG_M_Conf,FT_NEU_C_Conf,FT_NEU_I_Conf,FT_NEU_M_Conf,FT_MI_C_Conf,FT_MI_I_Conf,FT_MI_M_Conf,IT_Conf_1Q,IT_Conf_2Q,IT_Conf_3Q,IT_Conf_4Q,IT_Cong_Conf_1Q,IT_Cong_Conf_2Q,IT_Cong_Conf_3Q,IT_Cong_Conf_4Q,IT_Neu_Conf_1Q,IT_Neu_Conf_2Q,IT_Neu_Conf_3Q,IT_Neu_Conf_4Q,IT_Misl_Conf_1Q,IT_Misl_Conf_2Q,IT_Misl_Conf_3Q,IT_Misl_Conf_4Q,FT_Cong_Conf_1Q,FT_Cong_Conf_2Q,FT_Cong_Conf_3Q,FT_Cong_Conf_4Q,FT_Neu_Conf_1Q,FT_Neu_Conf_2Q,FT_Neu_Conf_3Q,FT_Neu_Conf_4Q,FT_Misl_Conf_1Q,FT_Misl_Conf_2Q,FT_Misl_Conf_3Q,FT_Misl_Conf_4Q,IT_Acc_ITConf_1Q,IT_Acc_ITConf_2Q,IT_Acc_ITConf_3Q,IT_Acc_ITConf_4Q,FTCongAcc_FTConf1Q,FTCongAcc_FTConf2Q,FTCongAcc_FTConf3Q,FTCongAcc_FTConf4Q,FTNeuAcc_FTConf1Q,FTNeuAcc_FTConf2Q,FTNeuAcc_FTConf3Q,FTNeuAcc_FTConf4Q,FTMislAcc_FTConf1Q,FTMislAcc_FTConf2Q,FTMislAcc_FTConf3Q,FTMislAcc_FTConf4Q,FTCongAcc_ITConf1Q,FTCongAcc_ITConf2Q,FTCongAcc_ITConf3Q,FTCongAcc_ITConf4Q,FTNeuAcc_ITConf1Q,FTNeuAcc_ITConf2Q,FTNeuAcc_ITConf3Q,FTNeuAcc_ITConf4Q,FTMislAcc_ITConf1Q,FTMislAcc_ITConf2Q,FTMislAcc_ITConf3Q,FTMislAcc_ITConf4Q
312,1,T,NW,0.50,0.00,0.50,0.00,0.50,0.00,0.25,0.25,0.63,0.13,0.25,0.00,0.88,0.13,0.00,0.63,0.00,0.38,0.63,0.00,0.38,0.00,7,,2,,8,,0,3,3,0,0,,9,0,,7,,4,3,,8,0.0,2.7,5.7,8.7,0.0,3.0,7.0,9.0,0.0,5.0,8.0,9.0,0.0,0.0,2.0,8.0,3,9,9,9,1,5.5,9,9,1,3.5,6,8.5,0.17,0.33,0.67,1.00,0.5,1,1,1,0.5,0.5,1,0.5,1,1,0.5,0,1,1,0.5,1,0,0.5,1,1,1,0.5,0.5,0.5
313,2,T,NW,0.25,0.00,0.75,0.00,0.50,0.00,0.50,0.00,0.50,0.13,0.38,0.00,1.00,0.00,0.00,0.75,0.25,0.00,0.50,0.13,0.38,0.38,20,,15,,58,,0,,78,0,3,,80,,,71,20,,48,80,100,0.0,6.0,48.3,90.0,0.0,0.0,10.0,80.0,0.0,8.0,75.0,,0.0,10.0,60.0,100.0,40,80,100,100,10,32.5,90,100,16.5,70,100,100,0.17,0.17,0.67,0.67,1,1,1,1,0.5,0.5,1,1,1,0.5,0.5,0,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5
314,3,T,NW,0.38,0.25,0.38,0.00,0.50,0.00,0.50,0.00,0.38,0.13,0.38,0.13,0.75,0.25,0.00,0.75,0.25,0.00,0.25,0.13,0.63,0.63,99,0,12,,70,,50,,100,0,45,0,76,40,,59,53,,70,3,90,3.3,41.7,91.0,99.3,0.0,10.0,99.0,99.0,10.0,60.0,75.0,99.0,0.0,55.0,99.0,100.0,3.5,80,85,100,17.5,40,77.5,95,31.5,80,90,100,0.17,0.00,0.50,1.00,0.5,1,0.5,1,0.5,1,1,0.5,0.5,0.5,0,0,0,1,1,1,1,0.5,0.5,1,0,0.5,0.5,0
316,2,T,NW,0.25,0.13,0.63,0.00,0.50,0.00,0.50,0.00,0.25,0.00,0.63,0.13,0.75,0.13,0.13,0.75,0.25,0.00,0.50,0.00,0.50,0.50,100,0,18,,75,,26,,100,,9,25,78,50,50,71,25,,80,,70,1.7,15.0,91.7,100.0,0.0,5.0,75.0,100.0,5.0,15.0,100.0,100.0,0.0,25.0,100.0,,30,52.5,100,100,16,32.5,90,100,40,72.5,87.5,100,0.17,0.00,0.33,0.83,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,1,0,0.5,0.5,1
317,3,T,NW,1.00,0.00,0.00,0.00,0.75,0.13,0.13,0.00,0.88,0.00,0.13,0.00,0.88,0.13,0.00,0.88,0.13,0.00,0.13,0.00,0.88,0.88,100,,,,100,0,0,,100,,,,100,100,,100,100,,100,,100,66.7,99.7,100.0,100.0,100.0,100.0,100.0,,0.0,99.0,100.0,100.0,100.0,100.0,100.0,,100,100,100,100,100,100,100,100,100,100,100,100,0.67,1.00,1.00,0.83,0.5,1,1,1,0.5,1,1,1,0,0.5,0,0,1,1,0.5,1,0.5,1,1,1,0,0.5,0,0
318,1,T,NW,0.25,0.00,0.75,0.00,0.63,0.00,0.25,0.13,0.63,0.13,0.00,0.25,0.88,0.13,0.00,0.75,0.13,0.13,0.00,0.00,1.00,0.88,75,,3,,62,,100,0,60,0,,25,97,9,,60,80,0,,,69,16.7,30.0,59.7,100.0,0.0,0.0,20.0,100.0,50.0,50.0,100.0,100.0,0.0,40.0,59.0,100.0,44.5,100,100,100,0,55,70,95,4.5,70,100,100,0.17,0.67,0.50,0.67,0.5,1,1,1,0.5,1,0.5,1,0,0,0,0,0.5,1,1,1,0.5,1,1,0.5,0,0,0,0
319,2,T,NW,0.38,0.13,0.50,0.00,0.38,0.13,0.50,0.00,0.38,0.13,0.50,0.00,0.75,0.13,0.13,0.88,0.13,0.00,0.50,0.13,0.38,0.38,67,0,26,,100,,56,,75,0,50,,64,0,0,74,0,,71,25,58,16.7,58.3,83.3,100.0,0.0,25.0,50.0,100.0,50.0,100.0,100.0,,0.0,50.0,100.0,100.0,0,17.5,75,100,7.5,50,100,100,17.5,37.5,87.5,100,0.17,0.33,0.50,0.50,0,1,1,1,0.5,1,1,1,0.5,0,0.5,1,1,0.5,0.5,1,1,1,1,0.5,0,0.5,1,0.5
320,3,T,NW,0.38,0.00,0.63,0.00,0.13,0.13,0.63,0.13,0.50,0.13,0.38,0.00,0.50,0.38,0.13,0.38,0.50,0.13,0.63,0.38,0.00,-0.13,78,,0,,95,0,0,0,68,0,13,,93,1,0,42,0,23,90,8,,0.0,13.3,41.7,97.5,0.0,0.0,75.0,,0.0,0.0,0.0,95.0,0.0,40.0,50.0,100.0,0,1.5,86.5,99.5,0,0,16,59,0,50,87,99.5,0.00,0.00,0.50,0.83,0,0,1,1,0,0,1,0.5,0,0.5,1,1,0,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0,1,1
321,1,T,NW,0.50,0.00,0.50,0.00,0.50,0.00,0.38,0.13,0.13,0.00,0.88,0.00,0.88,0.13,0.00,0.50,0.38,0.13,0.25,0.25,0.50,0.38,95,,14,,84,,97,85,100,,23,,90,50,,88,30,100,50,50,85,28.3,50.0,83.3,100.0,0.0,50.0,100.0,100.0,85.0,100.0,100.0,100.0,0.0,0.0,50.0,100.0,50,100,100,,2.5,67.5,100,100,0,70,100,100,0.17,0.00,0.50,0.83,0.5,1,1,1,0,0.5,0.5,1,0.5,0,0.5,0,0.5,1,1,1,0.5,0,0.5,1,0,0,0.5,0.5
322,2,T,NW,0.50,0.00,0.50,0.00,0.63,0.13,0.25,0.00,0.88,0.00,0.13,0.00,0.88,0.00,0.13,0.75,0.13,0.13,0.50,0.13,0.38,0.25,95,,58,,93,0,45,,95,,70,,97,,100,97,100,70,100,80,100,50.0,80.0,100.0,100.0,50.0,70.0,100.0,100.0,30.0,70.0,100.0,,70.0,100.0,100.0,,90,100,100,100,75,100,100,100,90,100,100,100,0.17,0.50,1.00,1.00,1,0.5,1,1,0.5,0.5,1,1,0.5,0,1,0.5,1,1,0.5,1,0.5,0.5,1,1,0.5,0,0.5,1
323,3,T,NW,0.63,0.00,0.38,0.00,0.50,0.00,0.38,0.13,0.63,0.00,0.38,0.00,0.88,0.13,0.00,0.63,0.25,0.13,0.25,0.00,0.75,0.63,90,,53,,94,,2,50,95,,33,,100,0,,60,0,0,100,,92,23.3,76.7,100.0,100.0,70.0,80.0,100.0,100.0,0.0,50.0,100.0,100.0,0.0,100.0,100.0,100.0,50,100,100,100,0,0,50,100,75,100,100,100,0.17,0.33,0.83,1.00,0.5,1,1,1,0.5,0.5,0.5,1,0,0.5,0.5,0,1,0.5,1,1,0.5,0.5,0.5,1,0,0,0.5,0.5
324,1,T,NW,0.38,0.00,0.63,0.00,0.13,0.00,0.75,0.13,0.25,0.13,0.38,0.25,0.88,0.13,0.00,0.00,0.63,0.38,0.25,0.38,0.38,0.00,100,,28,,50,,65,50,100,0,75,65,84,90,,,88,90,100,73,100,20.0,60.0,98.3,100.0,0.0,50.0,100.0,100.0,10.0,50.0,100.0,100.0,50.0,80.0,95.0,,49.5,90,100,100,70,90,95,100,65,95,100,100,0.00,0.17,0.17,0.67,1,0.5,1,1,0,0,0,0,0,0,0.5,0.5,1,0.5,1,1,0,0,0,0,0,0.5,0.5,0
326,3,T,NW,0.63,0.00,0.38,0.00,0.50,0.13,0.25,0.13,0.38,0.13,0.50,0.00,1.00,0.00,0.00,0.75,0.13,0.13,0.00,0.00,1.00,0.88,86,,27,,88,0,20,20,99,0,0,,100,,,30,20,0,,,88,6.7,33.3,94.3,100.0,20.0,60.0,100.0,100.0,0.0,40.0,85.0,100.0,0.0,0.0,98.0,100.0,100,100,100,100,0,5,20,75,50,100,100,100,0.00,0.17,0.83,1.00,1,1,1,1,0.5,1,0.5,1,0,0,0,0,1,1,1,1,0.5,0.5,1,1,0,0,0,0
327,1,T,NW,0.25,0.13,0.63,0.00,0.25,0.00,0.75,0.00,0.25,0.00,0.63,0.13,0.75,0.25,0.00,0.63,0.13,0.25,0.25,0.38,0.38,0.13,100,0,76,,51,,68,,100,,45,50,93,60,,95,100,75,80,60,66,40.0,63.3,100.0,100.0,50.0,70.0,100.0,100.0,30.0,70.0,100.0,100.0,40.0,50.0,100.0,,60,85,100,,70,95,100,100,9,65,95,100,0.17,0.00,0.50,0.33,0.5,0.5,1,1,0.5,0.5,1,0.5,0,0.5,0.5,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0
328,2,T,NW,0.13,0.38,0.38,0.13,0.50,0.13,0.38,0.00,0.75,0.00,0.25,0.00,0.50,0.13,0.38,0.63,0.38,0.00,0.88,0.13,0.00,0.00,20,0,32,10,91,0,20,,77,,88,,22,20,20,88,23,,60,30,,18.3,46.7,68.3,88.3,0.0,0.0,20.0,65.0,5.0,50.0,90.0,100.0,50.0,90.0,95.0,100.0,3,20,30,30,15,60,90,90,25,45,75,100,0.33,0.17,0.67,0.67,0.5,0.5,0.5,0.5,0,0.5,1,1,1,0.5,1,1,0,1,0.5,0.5,0,0.5,1,1,1,0.5,1,1
329,3,T,NW,0.63,0.00,0.38,0.00,0.38,0.13,0.50,0.00,0.25,0.25,0.50,0.00,0.88,0.00,0.13,0.88,0.13,0.00,0.50,0.25,0.25,0.25,80,,33,,45,0,150,,100,0,18,,89,,0,71,0,,89,63,50,0.0,33.3,58.3,100.0,0.0,100.0,100.0,100.0,0.0,0.0,25.0,,0.0,0.0,50.0,100.0,10,100,100,100,0,50,100,100,37.5,52,100,100,0.00,0.33,0.50,0.83,0.5,1,1,1,0.5,1,1,1,0,0.5,1,0.5,0.5,1,1,1,1,0.5,1,1,0.5,0.5,0,1
330,1,T,NW,0.50,0.00,0.50,0.00,0.38,0.00,0.50,0.13,0.25,0.00,0.63,0.13,1.00,0.00,0.00,1.00,0.00,0.00,0.13,0.13,0.75,0.75,88,,9,,87,,27,0,93,,9,100,93,,,84,,,75,60,98,0.0,14.7,88.3,96.7,0.0,34.0,100.0,100.0,0.0,10.0,80.0,90.0,0.0,0.0,85.0,100.0,72.5,97.5,100,100,52.5,92.5,100,100,67.5,92.5,100,100,0.00,0.00,0.67,0.83,1,1,1,1,1,1,1,1,0.5,0,0,0,1,1,1,1,1,1,1,1,0,0.5,0,0
331,2,T,NW,0.38,0.00,0.50,0.13,0.38,0.00,0.63,0.00,0.63,0.00,0.38,0.00,0.88,0.00,0.13,0.63,0.38,0.00,0.25,0.00,0.75,0.75,33,,10,0,60,,12,,62,,40,,93,,30,72,7,,100,,78,3.3,20.0,49.7,100.0,0.0,0.0,0.0,100.0,0.0,10.0,50.0,100.0,10.0,50.0,99.0,100.0,40,99.5,100,100,5,10,75,100,35,100,100,100,0.33,0.17,0.50,0.83,0.5,1,1,1,0,0.5,1,1,0,0.5,0.5,0,1,1,0.5,1,0,1,0.5,1,0.5,0,0,0.5
332,3,T,NW,0.75,0.00,0.13,0.13,0.13,0.00,0.75,0.13,0.38,0.25,0.38,0.00,0.88,0.00,0.13,0.50,0.38,0.13,0.38,0.25,0.38,0.25,98,,20,100,100,,65,,100,0,33,,86,,100,100,83,100,83,100,100,36.7,63.3,100.0,100.0,90.0,100.0,100.0,100.0,20.0,90.0,100.0,,0.0,0.0,100.0,100.0,50,100,100,100,75,100,100,100,75,100,100,100,0.17,0.33,0.50,0.67,1,0.5,1,1,0,0.5,1,0.5,0.5,0,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0.5,0,0,0.5,1
200,1,NT,W,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.00,0.25,0.75,0.00,0.25,0.00,,,,,,,,,,,,,96,100,,83,,45,80,,75,,,,,,,,,,,,,,,,,85.0,100.0,100.0,100.0,2.5,90.0,100.0,100.0,50.0,75.0,90.0,100.0,,,,,1,1,1,0.5,0.5,0.5,1,1,1,0,1,1,,,,,,,,,,,,
201,2,NT,W,,,,,,,,,,,,,1.00,0.00,0.00,0.75,0.13,0.13,0.63,0.25,0.13,0.00,,,,,,,,,,,,,53,,,83,50,25,66,70,100,,,,,,,,,,,,,,,,,16.5,30.0,70.0,95.0,22.5,62.5,100.0,100.0,25.0,60.0,100.0,100.0,,,,,1,1,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,,,,,,,,,,,,
202,3,NT,W,,,,,,,,,,,,,0.63,0.13,0.25,0.50,0.13,0.38,0.75,0.13,0.13,-0.25,,,,,,,,,,,,,81,50,38,37,25,25,85,100,50,,,,,,,,,,,,,,,,,25.0,62.5,77.5,100.0,0.0,17.5,50.0,75.0,50.0,79.5,100.0,100.0,,,,,0,0.5,1,1,0,0.5,1,0.5,0.5,1,0.5,1,,,,,,,,,,,,
203,1,NT,W,,,,,,,,,,,,,0.88,0.13,0.00,0.75,0.00,0.25,0.38,0.25,0.38,0.13,,,,,,,,,,,,,87,,,93,,80,47,30,60,,,,,,,,,,,,,,,,,65.0,90.0,100.0,100.0,79.5,90.0,90.0,100.0,0.0,45.0,65.0,80.0,,,,,1,1,1,0.5,0,1,1,1,0.5,0.5,0,0.5,,,,,,,,,,,,
205,3,NT,W,,,,,,,,,,,,,0.88,0.13,0.00,0.38,0.50,0.13,0.38,0.50,0.13,0.00,,,,,,,,,,,,,82,20,,70,50,30,77,30,90,,,,,,,,,,,,,,,,,13.5,84.5,100.0,100.0,25.0,45.0,60.0,89.5,25.0,35.0,65.0,95.0,,,,,0.5,1,1,1,0,0.5,0.5,0.5,0,0,1,0.5,,,,,,,,,,,,
208,3,NT,W,,,,,,,,,,,,,1.00,0.00,0.00,0.63,0.25,0.13,0.75,0.00,0.25,0.13,,,,,,,,,,,,,79,,,80,65,70,77,,70,,,,,,,,,,,,,,,,,44.0,80.0,90.0,100.0,45.0,75.0,85.0,95.0,35.0,70.0,95.0,100.0,,,,,1,1,1,1,0.5,0.5,0.5,1,0.5,0.5,1,1,,,,,,,,,,,,
209,1,NT,W,,,,,,,,,,,,,0.63,0.25,0.13,0.63,0.38,0.00,0.88,0.00,0.13,0.13,,,,,,,,,,,,,82,65,50,100,35,,64,,80,,,,,,,,,,,,,,,,,19.0,75.0,100.0,100.0,2.5,100.0,100.0,100.0,20.0,55.0,90.0,100.0,,,,,0.5,0.5,0.5,1,0,1,0.5,1,1,1,0.5,1,,,,,,,,,,,,
210,2,NT,W,,,,,,,,,,,,,0.63,0.38,0.00,0.63,0.13,0.25,1.00,0.00,0.00,-0.25,,,,,,,,,,,,,87,67,,70,100,29,79,,,,,,,,,,,,,,,,,,,50.0,67.5,100.0,100.0,3.5,50.0,100.0,100.0,28.5,87.5,100.0,100.0,,,,,0,1,0.5,1,0.5,0.5,0.5,1,1,1,1,1,,,,,,,,,,,,
212,1,NT,W,,,,,,,,,,,,,0.75,0.25,0.00,0.75,0.13,0.13,0.38,0.50,0.13,0.00,,,,,,,,,,,,,71,38,,83,10,25,83,56,75,,,,,,,,,,,,,,,,,25.0,37.5,87.5,100.0,17.5,50.0,100.0,100.0,25.0,62.5,87.5,100.0,,,,,0.5,0.5,1,1,0,1,1,1,0,0.5,0.5,0.5,,,,,,,,,,,,
213,2,NT,W,,,,,,,,,,,,,0.63,0.13,0.25,0.63,0.25,0.13,0.50,0.25,0.25,0.13,,,,,,,,,,,,,80,20,60,84,25,50,73,75,50,,,,,,,,,,,,,,,,,20.0,70.0,100.0,100.0,20.0,40.0,100.0,100.0,45.0,60.0,90.0,100.0,,,,,0.5,0.5,1,0.5,0.5,0,1,1,1,0,0.5,0.5,,,,,,,,,,,,
214,3,NT,W,,,,,,,,,,,,,0.75,0.25,0.00,0.75,0.13,0.13,0.50,0.00,0.50,0.38,,,,,,,,,,,,,98,60,,38,20,0,100,,70,,,,,,,,,,,,,,,,,55.0,100.0,100.0,100.0,0.0,17.5,45.0,62.5,40.0,100.0,100.0,100.0,,,,,0.5,1,0.5,1,0.5,0.5,1,1,0,0.5,0.5,1,,,,,,,,,,,,
215,1,NT,W,,,,,,,,,,,,,1.00,0.00,0.00,0.63,0.25,0.13,0.38,0.13,0.50,0.38,,,,,,,,,,,,,86,,,75,38,50,53,75,75,,,,,,,,,,,,,,,,,50.0,95.0,100.0,100.0,30.0,50.0,70.0,100.0,30.0,62.5,75.0,100.0,,,,,1,1,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,,,,,,,,,,,,
216,2,NT,W,,,,,,,,,,,,,0.75,0.13,0.13,0.63,0.25,0.13,0.88,0.13,0.00,-0.13,,,,,,,,,,,,,75,100,100,100,75,100,67,100,,,,,,,,,,,,,,,,,,25.5,100.0,100.0,100.0,75.0,100.0,100.0,100.0,10.0,75.0,100.0,100.0,,,,,1,1,0,1,0,1,1,0.5,1,0.5,1,1,,,,,,,,,,,,
217,3,NT,W,,,,,,,,,,,,,1.00,0.00,0.00,0.50,0.38,0.13,0.50,0.25,0.25,0.13,,,,,,,,,,,,,71,,,90,37,10,95,55,75,,,,,,,,,,,,,,,,,9.0,75.0,100.0,100.0,5.0,45.0,90.0,100.0,45.0,75.0,100.0,100.0,,,,,1,1,1,1,0,0.5,0.5,1,0,0.5,1,0.5,,,,,,,,,,,,
218,1,NT,W,,,,,,,,,,,,,0.63,0.38,0.00,0.50,0.25,0.25,0.75,0.00,0.25,0.00,,,,,,,,,,,,,66,17,,78,35,10,73,,65,,,,,,,,,,,,,,,,,6.0,20.0,65.0,100.0,10.0,15.0,75.0,100.0,20.0,65.0,100.0,100.0,,,,,0.5,0,1,1,0,0.5,0.5,1,0.5,1,0.5,1,,,,,,,,,,,,
219,1,NT,W,,,,,,,,,,,,,0.75,0.25,0.00,0.88,0.13,0.00,0.25,0.00,0.75,0.75,,,,,,,,,,,,,79,81,,75,45,,85,,37,,,,,,,,,,,,,,,,,37.5,88.0,92.5,100.0,32.0,65.0,87.5,100.0,5.5,30.0,67.5,92.5,,,,,0.5,0.5,1,1,1,0.5,1,1,0,0,0.5,0.5,,,,,,,,,,,,
220,3,NT,W,,,,,,,,,,,,,0.63,0.25,0.13,0.50,0.38,0.13,0.75,0.13,0.13,0.00,,,,,,,,,,,,,99,65,99,63,50,99,93,75,50,,,,,,,,,,,,,,,,,64.5,99.0,99.0,99.5,20.0,52.5,77.5,99.0,62.5,85.0,94.5,100.0,,,,,0.5,0.5,0.5,1,0.5,0.5,1,0,0,1,1,1,,,,,,,,,,,,
221,1,NT,W,,,,,,,,,,,,,0.88,0.13,0.00,0.88,0.00,0.13,0.50,0.00,0.50,0.38,,,,,,,,,,,,,96,75,,76,,100,85,,75,,,,,,,,,,,,,,,,,75.0,100.0,100.0,100.0,16.5,100.0,100.0,100.0,45.0,75.0,100.0,100.0,,,,,0.5,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,,,,,,,,,,,,
222,2,NT,W,,,,,,,,,,,,,0.88,0.00,0.13,0.75,0.25,0.00,0.88,0.00,0.13,0.13,,,,,,,,,,,,,52,,0,66,63,,97,,85,,,,,,,,,,,,,,,,,0.0,17.5,66.0,97.5,0.0,62.5,97.5,100.0,82.5,100.0,100.0,100.0,,,,,0.5,1,1,1,1,0,1,1,0.5,1,1,1,,,,,,,,,,,,
223,3,NT,W,,,,,,,,,,,,,1.00,0.00,0.00,0.75,0.25,0.00,0.75,0.13,0.13,0.13,,,,,,,,,,,,,91,,,60,38,,94,50,75,,,,,,,,,,,,,,,,,75.0,90.0,100.0,100.0,15.0,32.5,70.0,100.0,62.5,82.5,100.0,100.0,,,,,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,1,,,,,,,,,,,,
225,2,NT,W,,,,,,,,,,,,,0.50,0.25,0.25,0.63,0.38,0.00,0.50,0.25,0.25,0.25,,,,,,,,,,,,,100,38,75,97,75,,100,100,75,,,,,,,,,,,,,,,,,37.5,75.0,100.0,100.0,62.5,92.5,100.0,100.0,75.0,100.0,100.0,100.0,,,,,0,0.5,1,0.5,0,1,1,0.5,0,1,0,1,,,,,,,,,,,,
226,3,NT,W,,,,,,,,,,,,,0.88,0.13,0.00,0.63,0.25,0.13,0.75,0.00,0.25,0.13,,,,,,,,,,,,,77,20,,48,35,10,73,,35,,,,,,,,,,,,,,,,,20.0,60.0,100.0,100.0,5.0,20.0,35.0,100.0,15.0,40.0,100.0,100.0,,,,,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0.5,1,1,,,,,,,,,,,,
228,2,NT,W,,,,,,,,,,,,,0.88,0.00,0.13,0.75,0.25,0.00,0.38,0.13,0.50,0.50,,,,,,,,,,,,,64,,0,85,50,,87,20,29,,,,,,,,,,,,,,,,,2.5,40.0,80.0,100.0,5.0,100.0,100.0,100.0,2.5,15.0,80.0,100.0,,,,,0.5,1,1,1,0.5,0.5,1,1,0,0,1,0.5,,,,,,,,,,,,
229,3,NT,W,,,,,,,,,,,,,0.75,0.13,0.13,0.75,0.13,0.13,0.88,0.13,0.00,-0.13,,,,,,,,,,,,,83,50,0,80,50,0,71,75,,,,,,,,,,,,,,,,,,25.0,50.0,100.0,100.0,12.5,67.5,95.0,100.0,28.5,75.0,82.5,100.0,,,,,0.5,0.5,1,1,0.5,0.5,1,1,1,0.5,1,1,,,,,,,,,,,,
230,1,NT,W,,,,,,,,,,,,,0.63,0.13,0.25,0.75,0.13,0.13,0.63,0.00,0.38,0.25,,,,,,,,,,,,,90,0,90,88,,70,76,,97,,,,,,,,,,,,,,,,,25.0,90.0,100.0,100.0,60.0,100.0,100.0,,40.0,95.0,100.0,100.0,,,,,0.5,0.5,0.5,1,0.5,1,1,0.5,1,0,0.5,1,,,,,,,,,,,,
231,2,NT,W,,,,,,,,,,,,,0.63,0.25,0.13,0.75,0.13,0.13,0.50,0.13,0.38,0.25,,,,,,,,,,,,,100,90,100,100,100,50,94,100,100,,,,,,,,,,,,,,,,,90.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,,,,,0.5,0.5,0.5,1,0.5,1,0.5,1,1,0.5,0,0.5,,,,,,,,,,,,
232,3,NT,W,,,,,,,,,,,,,0.88,0.00,0.13,0.63,0.13,0.25,0.63,0.13,0.25,0.00,,,,,,,,,,,,,100,,50,68,50,50,100,50,50,,,,,,,,,,,,,,,,,75.0,100.0,100.0,100.0,20.0,50.0,75.0,100.0,50.0,75.0,100.0,100.0,,,,,0.5,1,1,1,1,0,0.5,1,0,0.5,1,1,,,,,,,,,,,,
400,1,T,W,0.75,0.00,0.25,0.00,0.88,0.00,0.13,0.00,0.63,0.00,0.38,0.00,0.88,0.13,0.00,0.88,0.13,0.00,0.63,0.25,0.13,0.13,97,,80,,94,,0,,81,,0,,83,75,,94,100,,90,75,75,56.7,88.3,98.3,100.0,90.0,100.0,100.0,,80.0,90.0,100.0,100.0,0.0,75.0,95.0,,37.5,97.5,100,100,82.5,95,100,100,75,75,90,97.5,0.33,1.00,1.00,0.67,0.5,1,1,1,1,1,0.5,1,0.5,0,1,1,0.5,1,1,1,1,1,0.5,1,0,0.5,1,1
401,2,T,W,0.00,0.25,0.63,0.13,0.38,0.25,0.38,0.00,0.38,0.00,0.50,0.13,0.63,0.25,0.13,0.75,0.25,0.00,0.75,0.13,0.13,0.13,,0,48,40,90,0,20,,70,,63,90,40,50,50,58,30,,84,60,90,10.0,50.0,90.0,100.0,0.0,40.0,90.0,,0.0,20.0,80.0,100.0,30.0,90.0,100.0,,10,50,50,65,5,45,90,100,65,80,90,92.5,0.17,0.00,0.33,0.50,1,0,0.5,1,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,1,0.5,1,0.5,0.5,1,1,0,1,1
402,3,T,W,0.75,0.00,0.13,0.13,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.88,0.13,0.00,0.88,0.13,0.00,0.75,0.13,0.13,0.13,100,,100,100,100,,25,,100,,88,,100,100,,74,50,,100,100,100,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,7.5,75,100,100,100,100,100,100,0.50,0.67,0.83,0.33,1,1,0.5,1,1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5
403,1,T,W,0.38,0.00,0.63,0.00,0.63,0.00,0.25,0.13,0.25,0.13,0.63,0.00,0.63,0.38,0.00,0.63,0.25,0.13,0.38,0.25,0.38,0.25,83,,42,,70,,10,4,95,0,22,,72,40,,80,35,70,67,35,33,14.7,50.0,56.7,93.3,40.0,60.0,70.0,100.0,4.0,60.0,70.0,80.0,0.0,30.0,30.0,100.0,10,50,80,100,35,65,70,100,15,25,55,90,0.00,0.17,0.50,1.00,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,0,1,1,0,0.5,1,0,0.5,1,1,0.5,0,0,1
