"","xg_co_sd_pred","xg_mi_sd_pred"
"1",0.194465354084969,0.209361717104912
"2",0.208961173892021,0.195413589477539
"3",0.176779985427856,0.154507592320442
"4",0.146962970495224,0.157933384180069
"5",0.2953921854496,0.330382138490677
"6",0.266742080450058,0.325354427099228
"7",0.195166602730751,0.219801887869835
"8",0.191129580140114,0.302495777606964
"9",0.17431552708149,0.202574908733368
"10",0.217033743858337,0.201507017016411
"11",0.258319199085236,0.24920865893364
"12",0.24684901535511,0.322439134120941
"13",0.0835839137434959,0.10248426347971
"14",0.143250778317451,0.132935106754303
"15",0.359665274620056,0.334235906600952
"16",0.449313431978226,0.478738605976105
"17",0.003698012791574,0.00584199791774154
"18",0.464533090591431,0.443004667758942
"19",0.270445078611374,0.272432029247284
"20",0.317396551370621,0.272378981113434
"21",0.218198910355568,0.237530171871185
"22",0.24684901535511,0.304491281509399
"23",0.273844242095947,0.273484468460083
"24",0.24684901535511,0.27730318903923
"25",0.16021665930748,0.147790014743805
"26",0.152048617601395,0.194535538554192
"27",0.105371586978436,0.157876819372177
"28",0.258319199085236,0.240347385406494
"29",0.243099525570869,0.214794456958771
"30",0.243099525570869,0.193758919835091
"31",0.184502005577087,0.148640751838684
"32",0.21409285068512,0.135895907878876
"33",0.0835839137434959,0.0717566981911659
"34",0.123616904020309,0.104440428316593
"35",0.188251495361328,0.153741657733917
"36",0.157992631196976,0.172979578375816
"37",0.215246722102165,0.189214244484901
"38",0.102753400802612,0.158999085426331
"39",0.102753400802612,0.190095037221909
"40",0.0752677321434021,0.0979002416133881
"41",0.0752677321434021,0.158371895551682
"42",0.176633760333061,0.219372466206551
"43",0.184502005577087,0.265954583883286
"44",0.253299087285995,0.26935225725174
"45",0.193138554692268,0.159044414758682
"46",0.208065718412399,0.15095117688179
"47",0.185478284955025,0.163611337542534
"48",0.168787941336632,0.152655020356178
"49",0.193138554692268,0.172061055898666
"50",0.220133796334267,0.214562073349953
"51",0.190247789025307,0.166516587138176
"52",0.168787941336632,0.155177816748619
"53",0.152048617601395,0.173065707087517
"54",0.152048617601395,0.165953561663628
"55",0.165038451552391,0.15871487557888
"56",0.165038451552391,0.154341638088226
"57",0.258319199085236,0.282765924930573
"58",0.346557766199112,0.409135103225708
"59",0.346557766199112,0.35616135597229
"60",0.320769816637039,0.407299816608429
"61",0.336778253316879,0.379920125007629
"62",0.346557766199112,0.408785700798035
"63",0.320769816637039,0.39868238568306
"64",0.133148193359375,0.152692079544067
"65",0.118652373552322,0.160323590040207
"66",0.224304005503654,0.203854694962502
"67",0.230457857251167,0.236280471086502
"68",0.137552797794342,0.157994240522385
"69",0.184502005577087,0.20459371805191
"70",0.251789629459381,0.227957189083099
"71",0.243099525570869,0.239573165774345
"72",0.154467821121216,0.221547141671181
"73",0.243099525570869,0.205060124397278
"74",0.230457857251167,0.222178012132645
"75",0.243099525570869,0.210806518793106
"76",0.2953921854496,0.260623574256897
"77",0.191129580140114,0.232228130102158
"78",0.225579261779785,0.288626283407211
"79",0.197215750813484,0.186348453164101
"80",0.197215750813484,0.208427518606186
"81",0.237537249922752,0.236880868673325
"82",0.197215750813484,0.185940325260162
"83",0.228572994470596,0.236279964447021
"84",0.228572994470596,0.220383033156395
"85",0.197215750813484,0.186067298054695
"86",0.197215750813484,0.207747608423233
"87",0.238510131835938,0.259610652923584
"88",0.246894329786301,0.214662194252014
"89",0.151857286691666,0.235502928495407
"90",0.218776792287827,0.193824946880341
"91",0.173186674714088,0.227622792124748
"92",0.16062818467617,0.208697453141212
"93",0.173186674714088,0.200815051794052
"94",0.173186674714088,0.170055195689201
"95",0.0879375860095024,0.0635822713375092
"96",0.224304005503654,0.214399680495262
"97",0.227932825684547,0.10962949693203
"98",0.20446115732193,0.225419670343399
"99",0.208065718412399,0.170168548822403
"100",0.155798107385635,0.143268346786499
"101",0.123616904020309,0.132597416639328
"102",0.203238248825073,0.208345413208008
"103",0.310657232999802,0.193992406129837
"104",0.21409285068512,0.122763730585575
"105",0.322387427091599,0.32152047753334
"106",0.220004871487617,0.227723762392998
"107",0.230457857251167,0.227662533521652
"108",0.227091088891029,0.216701880097389
"109",0.284279018640518,0.254470080137253
"110",0.186957195401192,0.202384918928146
"111",0.310611844062805,0.297953516244888
"112",0.337607085704803,0.301008403301239
"113",0.310611844062805,0.281079053878784
"114",0.310611844062805,0.278957188129425
"115",0.310611844062805,0.285997480154037
"116",0.310611844062805,0.278957188129425
"117",0.17232771217823,0.210361734032631
"118",0.217289045453072,0.222598075866699
"119",0.17232771217823,0.210361734032631
"120",0.17232771217823,0.210361734032631
"121",0.259992510080338,0.2284115254879
"122",0.230457857251167,0.23642098903656
"123",0.188340216875076,0.237080067396164
"124",0.229437857866287,0.239641338586807
"125",0.229437857866287,0.24185174703598
"126",0.219276890158653,0.204761371016502
